publish_order,week,batch,id,keyword,cluster,priority,content_type,target_route,recommended_url
"1","1","W01","NEG-003","reply template when client asks for discount","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-discount"
"2","1","W01","NEG-004","freelancer negotiation email when client asks for discount","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-discount"
"3","1","W01","NEG-007","reply template when client says your price is too high","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-your-price-is-too-high"
"4","1","W01","PRI-008","freelance landing page copywriting project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-landing-page-copywriting-project-pricing-template"
"5","1","W01","PRI-009","freelance landing page copywriting project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-landing-page-copywriting-project-rate-calculator"
"6","1","W01","PRI-011","freelance social media management project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-social-media-management-project-pricing-template"
"7","1","W01","COM-002","email template when client stops replying after proposal","client-communication","P1","template","/deal","/blog/email-template-when-client-stops-replying-after-proposal"
"8","1","W01","COM-003","freelancer message script when client stops replying after proposal","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-stops-replying-after-proposal"
"9","1","W01","PRO-001","freelance proposal template for website redesign project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-website-redesign-project"
"10","1","W01","PRO-003","freelance proposal template for brand identity project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-brand-identity-project"
"11","2","W02","NEG-008","freelancer negotiation email when client says your price is too high","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-your-price-is-too-high"
"12","2","W02","NEG-011","reply template when client says budget is low","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-budget-is-low"
"13","2","W02","NEG-012","freelancer negotiation email when client says budget is low","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-budget-is-low"
"14","2","W02","PRI-012","freelance social media management project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-social-media-management-project-rate-calculator"
"15","2","W02","PRI-017","freelance short form video editing project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-short-form-video-editing-project-pricing-template"
"16","2","W02","COM-005","email template when client has not replied for a week","client-communication","P1","template","/deal","/blog/email-template-when-client-has-not-replied-for-a-week"
"17","2","W02","COM-006","freelancer message script when client has not replied for a week","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-has-not-replied-for-a-week"
"18","2","W02","COM-008","email template when client viewed proposal but did not respond","client-communication","P1","template","/deal","/blog/email-template-when-client-viewed-proposal-but-did-not-respond"
"19","2","W02","PRO-005","freelance proposal template for seo copywriting project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-seo-copywriting-project"
"20","2","W02","PRO-007","freelance proposal template for video editing project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-video-editing-project"
"21","3","W03","NEG-015","reply template when client asks for your best price","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-your-best-price"
"22","3","W03","NEG-016","freelancer negotiation email when client asks for your best price","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-your-best-price"
