page_id,tier,cluster_id,template_id,page_type,cta_type,title,route,variable_value,source,expansion_of,expansion_rule,expansion_dimension
"CORE-001","core","negotiation","negotiation-situation","problem","reply","How to respond when client asks for discount","/negotiation/client-asks-discount","client asks for discount","flowdockr-seo-machine-v2-part1","","",""
"CORE-002","core","negotiation","negotiation-situation","problem","reply","How to respond when client says price too high","/negotiation/client-says-price-too-high","client says price too high","flowdockr-seo-machine-v2-part1","","",""
"CORE-003","core","negotiation","negotiation-situation","problem","reply","How to respond when client compares other freelancers","/negotiation/client-compares-freelancers","client compares other freelancers","flowdockr-seo-machine-v2-part1","","",""
"CORE-004","core","negotiation","negotiation-situation","problem","reply","How to respond when client says budget too low","/negotiation/client-says-budget-too-low","client says budget too low","flowdockr-seo-machine-v2-part1","","",""
"CORE-005","core","negotiation","negotiation-situation","problem","reply","How to respond when client asks cheaper option","/negotiation/client-asks-cheaper-option","client asks cheaper option","flowdockr-seo-machine-v2-part1","","",""
"CORE-006","core","negotiation","negotiation-situation","problem","reply","How to respond when client wants lower rate","/negotiation/client-wants-lower-rate","client wants lower rate","flowdockr-seo-machine-v2-part1","","",""
"CORE-007","core","negotiation","negotiation-situation","problem","reply","How to respond when client negotiating project price","/negotiation/client-negotiating-project-price","client negotiating project price","flowdockr-seo-machine-v2-part1","","",""
"CORE-008","core","negotiation","negotiation-situation","problem","reply","How to respond when client asks price reduction","/negotiation/client-asks-price-reduction","client asks price reduction","flowdockr-seo-machine-v2-part1","","",""
"CORE-009","core","negotiation","negotiation-situation","problem","reply","How to respond when client pushing for cheaper deal","/negotiation/client-pushing-cheaper-deal","client pushing for cheaper deal","flowdockr-seo-machine-v2-part1","","",""
"CORE-010","core","negotiation","negotiation-situation","problem","reply","How to respond when client asking for free work","/negotiation/client-asking-free-work","client asking for free work","flowdockr-seo-machine-v2-part1","","",""
"CORE-011","core","negotiation","negotiation-situation","problem","reply","How to respond when client asking free trial","/negotiation/client-asking-free-trial","client asking free trial","flowdockr-seo-machine-v2-part1","","",""
"CORE-012","core","negotiation","negotiation-situation","problem","reply","How to respond when client requesting revision without pay","/negotiation/client-requesting-revision-without-pay","client requesting revision without pay","flowdockr-seo-machine-v2-part1","","",""
"CORE-013","core","negotiation","negotiation-situation","problem","reply","How to respond when client asking scope expansion","/negotiation/client-asking-scope-expansion","client asking scope expansion","flowdockr-seo-machine-v2-part1","","",""
"CORE-014","core","negotiation","negotiation-situation","problem","reply","How to respond when client delaying payment negotiation","/negotiation/client-delaying-payment-negotiation","client delaying payment negotiation","flowdockr-seo-machine-v2-part1","","",""
"CORE-015","core","negotiation","negotiation-situation","problem","reply","How to respond when client rejecting proposal price","/negotiation/client-rejecting-proposal-price","client rejecting proposal price","flowdockr-seo-machine-v2-part1","","",""
"CORE-016","core","negotiation","negotiation-situation","problem","reply","How to respond when client requesting partial discount","/negotiation/client-requesting-partial-discount","client requesting partial discount","flowdockr-seo-machine-v2-part1","","",""
"CORE-017","core","negotiation","negotiation-situation","problem","reply","How to respond when client wants hourly reduction","/negotiation/client-wants-hourly-reduction","client wants hourly reduction","flowdockr-seo-machine-v2-part1","","",""
"CORE-018","core","negotiation","negotiation-situation","problem","reply","How to respond when client negotiating contract rate","/negotiation/client-negotiating-contract-rate","client negotiating contract rate","flowdockr-seo-machine-v2-part1","","",""
"CORE-019","core","negotiation","negotiation-situation","problem","reply","How to respond when client asking bundle discount","/negotiation/client-asking-bundle-discount","client asking bundle discount","flowdockr-seo-machine-v2-part1","","",""
"CORE-020","core","negotiation","negotiation-situation","problem","reply","How to respond when client questioning value","/negotiation/client-questioning-value","client questioning value","flowdockr-seo-machine-v2-part1","","",""
"CORE-021","core","pricing","pricing-service","cluster","pricing","How to price freelance design","/pricing/how-to-price-freelance-design","design","flowdockr-seo-machine-v2-part1","","",""
"CORE-022","core","pricing","pricing-service","cluster","pricing","How to price freelance copywriting","/pricing/how-to-price-freelance-copywriting","copywriting","flowdockr-seo-machine-v2-part1","","",""
"CORE-023","core","pricing","pricing-service","cluster","pricing","How to price freelance web development","/pricing/how-to-price-freelance-web-development","web development","flowdockr-seo-machine-v2-part1","","",""
"CORE-024","core","pricing","pricing-service","cluster","pricing","How to price freelance video editing","/pricing/how-to-price-freelance-video-editing","video editing","flowdockr-seo-machine-v2-part1","","",""
"CORE-025","core","pricing","pricing-service","cluster","pricing","How to price freelance illustration","/pricing/how-to-price-freelance-illustration","illustration","flowdockr-seo-machine-v2-part1","","",""
"CORE-026","core","pricing","pricing-service","cluster","pricing","How to price freelance social media","/pricing/how-to-price-freelance-social-media","social media","flowdockr-seo-machine-v2-part1","","",""
"CORE-027","core","pricing","pricing-service","cluster","pricing","How to price freelance marketing consulting","/pricing/how-to-price-freelance-marketing-consulting","marketing consulting","flowdockr-seo-machine-v2-part1","","",""
"CORE-028","core","pricing","pricing-service","cluster","pricing","How to price freelance UX design","/pricing/how-to-price-freelance-ux-design","UX design","flowdockr-seo-machine-v2-part1","","",""
"CORE-029","core","pricing","pricing-service","cluster","pricing","How to price freelance logo design","/pricing/how-to-price-freelance-logo-design","logo design","flowdockr-seo-machine-v2-part1","","",""
"CORE-030","core","pricing","pricing-service","cluster","pricing","How to price freelance SEO consulting","/pricing/how-to-price-freelance-seo-consulting","SEO consulting","flowdockr-seo-machine-v2-part1","","",""
"CORE-031","core","pricing","pricing-profession","cluster","pricing","Freelance rate for designer","/pricing/freelance-rate-for-designer","designer","flowdockr-seo-machine-v2-part1","","",""
"CORE-032","core","pricing","pricing-profession","cluster","pricing","Freelance rate for copywriter","/pricing/freelance-rate-for-copywriter","copywriter","flowdockr-seo-machine-v2-part1","","",""
"CORE-033","core","pricing","pricing-profession","cluster","pricing","Freelance rate for developer","/pricing/freelance-rate-for-developer","developer","flowdockr-seo-machine-v2-part1","","",""
"CORE-034","core","pricing","pricing-profession","cluster","pricing","Freelance rate for video editor","/pricing/freelance-rate-for-video-editor","video editor","flowdockr-seo-machine-v2-part1","","",""
"CORE-035","core","pricing","pricing-profession","cluster","pricing","Freelance rate for illustrator","/pricing/freelance-rate-for-illustrator","illustrator","flowdockr-seo-machine-v2-part1","","",""
"CORE-036","core","pricing","pricing-profession","cluster","pricing","Freelance rate for motion designer","/pricing/freelance-rate-for-motion-designer","motion designer","flowdockr-seo-machine-v2-part1","","",""
"CORE-037","core","pricing","pricing-profession","cluster","pricing","Freelance rate for marketing consultant","/pricing/freelance-rate-for-marketing-consultant","marketing consultant","flowdockr-seo-machine-v2-part1","","",""
"CORE-038","core","pricing","pricing-profession","cluster","pricing","Freelance rate for SEO specialist","/pricing/freelance-rate-for-seo-specialist","SEO specialist","flowdockr-seo-machine-v2-part1","","",""
"CORE-039","core","pricing","pricing-profession","cluster","pricing","Freelance rate for UX designer","/pricing/freelance-rate-for-ux-designer","UX designer","flowdockr-seo-machine-v2-part1","","",""
"CORE-040","core","pricing","pricing-profession","cluster","pricing","Freelance rate for brand designer","/pricing/freelance-rate-for-brand-designer","brand designer","flowdockr-seo-machine-v2-part1","","",""
"CORE-041","core","pricing","pricing-country","cluster","pricing","Freelance pricing in US","/pricing/freelance-pricing-in-us","US","flowdockr-seo-machine-v2-part1","","",""
"CORE-042","core","pricing","pricing-country","cluster","pricing","Freelance pricing in UK","/pricing/freelance-pricing-in-uk","UK","flowdockr-seo-machine-v2-part1","","",""
