id,status,page_type,cluster,primary_keyword,title,slug,situation,variables_json,target_tool,pillar_ref,related_refs,outline,last_generated_at,published_at,quality_score,flags,gsc_impressions,gsc_clicks,ctr,avg_position,refresh_reason,route,cta_type,tier,source_page_id
"SEO-0001","queued","problem","negotiation","client asks for discount","How to respond when client asks for discount","client-asks-discount","client_asks_for_discount","{""seed"":""client asks for discount""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0002|SEO-0003|SEO-0004|SEO-0005","","","","","","","","","","","/negotiation/client-asks-discount","reply","core","CORE-001"
"SEO-0002","queued","problem","negotiation","client says price too high","How to respond when client says price too high","client-says-price-too-high","client_says_price_too_high","{""seed"":""client says price too high""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0003|SEO-0004|SEO-0005","","","","","","","","","","","/negotiation/client-says-price-too-high","reply","core","CORE-002"
"SEO-0003","queued","problem","negotiation","client compares other freelancers","How to respond when client compares other freelancers","client-compares-freelancers","client_compares_other_freelancers","{""seed"":""client compares other freelancers""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0004|SEO-0005","","","","","","","","","","","/negotiation/client-compares-freelancers","reply","core","CORE-003"
"SEO-0004","queued","problem","negotiation","client says budget too low","How to respond when client says budget too low","client-says-budget-too-low","client_says_budget_too_low","{""seed"":""client says budget too low""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0005","","","","","","","","","","","/negotiation/client-says-budget-too-low","reply","core","CORE-004"
"SEO-0005","queued","problem","negotiation","client asks cheaper option","How to respond when client asks cheaper option","client-asks-cheaper-option","client_asks_cheaper_option","{""seed"":""client asks cheaper option""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asks-cheaper-option","reply","core","CORE-005"
"SEO-0006","queued","problem","negotiation","client wants lower rate","How to respond when client wants lower rate","client-wants-lower-rate","client_wants_lower_rate","{""seed"":""client wants lower rate""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-wants-lower-rate","reply","core","CORE-006"
"SEO-0007","queued","problem","negotiation","client negotiating project price","How to respond when client negotiating project price","client-negotiating-project-price","client_negotiating_project_price","{""seed"":""client negotiating project price""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-negotiating-project-price","reply","core","CORE-007"
"SEO-0008","queued","problem","negotiation","client asks price reduction","How to respond when client asks price reduction","client-asks-price-reduction","client_asks_price_reduction","{""seed"":""client asks price reduction""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asks-price-reduction","reply","core","CORE-008"
"SEO-0009","queued","problem","negotiation","client pushing for cheaper deal","How to respond when client pushing for cheaper deal","client-pushing-cheaper-deal","client_pushing_for_cheaper_deal","{""seed"":""client pushing for cheaper deal""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-pushing-cheaper-deal","reply","core","CORE-009"
"SEO-0010","queued","problem","negotiation","client asking for free work","How to respond when client asking for free work","client-asking-free-work","client_asking_for_free_work","{""seed"":""client asking for free work""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asking-free-work","reply","core","CORE-010"
