id,keyword,cluster,intent,target_route,content_type,conversion_score,competition_guess,priority
"NEG-001","how to respond when client asks for discount","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-002","what to say when client asks for discount","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-003","reply template when client asks for discount","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-004","freelancer negotiation email when client asks for discount","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-005","how to respond when client says your price is too high","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-006","what to say when client says your price is too high","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-007","reply template when client says your price is too high","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-008","freelancer negotiation email when client says your price is too high","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-009","how to respond when client says budget is low","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-010","what to say when client says budget is low","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-011","reply template when client says budget is low","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-012","freelancer negotiation email when client says budget is low","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-013","how to respond when client asks for your best price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-014","what to say when client asks for your best price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-015","reply template when client asks for your best price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-016","freelancer negotiation email when client asks for your best price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-017","how to respond when client asks you to match a cheaper quote","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-018","what to say when client asks you to match a cheaper quote","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-019","reply template when client asks you to match a cheaper quote","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-020","freelancer negotiation email when client asks you to match a cheaper quote","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-021","how to respond when client says another freelancer is cheaper","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-022","what to say when client says another freelancer is cheaper","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-023","reply template when client says another freelancer is cheaper","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-024","freelancer negotiation email when client says another freelancer is cheaper","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-025","how to respond when client asks for a startup discount","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-026","what to say when client asks for a startup discount","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-027","reply template when client asks for a startup discount","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-028","freelancer negotiation email when client asks for a startup discount","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-029","how to respond when client asks for a long-term discount upfront","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-030","what to say when client asks for a long-term discount upfront","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-031","reply template when client asks for a long-term discount upfront","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-032","freelancer negotiation email when client asks for a long-term discount upfront","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-033","how to respond when client asks for free extra deliverables","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-034","what to say when client asks for free extra deliverables","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-035","reply template when client asks for free extra deliverables","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-036","freelancer negotiation email when client asks for free extra deliverables","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-037","how to respond when client asks for urgent delivery without extra fee","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-038","what to say when client asks for urgent delivery without extra fee","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-039","reply template when client asks for urgent delivery without extra fee","negotiation-discount","objection-handling","/deal","template","5","low","P1"
