publish_order,week,batch,id,keyword,cluster,source,priority,content_type,target_route,recommended_url
"1","1","W01","NEG-016","freelancer negotiation script","negotiation-discount","user_seed","P1","template","/deal","/blog/freelancer-negotiation-script"
"2","1","W01","NEG-017","freelance price negotiation email","negotiation-discount","user_seed","P1","template","/deal","/blog/freelance-price-negotiation-email"
"3","1","W01","NEG-001","client asking for discount","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-asking-for-discount"
"4","1","W01","NEG-003","client says my price is too high","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-says-my-price-is-too-high"
"5","1","W01","PRI-004","freelance rate calculator","pricing-strategy","user_seed","P1","tool","/pricing","/blog/freelance-rate-calculator"
"6","1","W01","PRI-001","freelance pricing strategy","pricing-strategy","user_seed","P2","guide","/pricing","/blog/freelance-pricing-strategy"
"7","1","W01","PRI-002","how to price freelance work","pricing-strategy","user_seed","P2","guide","/pricing","/blog/how-to-price-freelance-work"
"8","1","W01","COM-006","freelancer follow up email","client-communication","user_seed","P1","template","/deal","/blog/freelancer-follow-up-email"
"9","1","W01","COM-012","follow up email after proposal","client-communication","user_seed","P1","template","/deal","/blog/follow-up-email-after-proposal"
"10","1","W01","PRO-001","freelance proposal template","proposal-and-close","user_seed","P1","template","/scope","/blog/freelance-proposal-template"
"11","2","W02","NEG-004","client asking for cheaper rate","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-asking-for-cheaper-rate"
"12","2","W02","NEG-005","client says budget is low","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-says-budget-is-low"
"13","2","W02","NEG-009","client says other freelancer cheaper","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-says-other-freelancer-cheaper"
"14","2","W02","PRI-003","how to charge clients freelancer","pricing-strategy","user_seed","P2","guide","/pricing","/blog/how-to-charge-clients-freelancer"
"15","2","W02","PRI-005","how to calculate freelance rate","pricing-strategy","user_seed","P2","guide","/pricing","/blog/how-to-calculate-freelance-rate"
"16","2","W02","PRI-006","freelancer hourly vs project pricing","pricing-strategy","user_seed","P2","guide","/pricing","/blog/freelancer-hourly-vs-project-pricing"
"17","2","W02","COM-016","freelancer follow up script","client-communication","user_seed","P1","template","/deal","/blog/freelancer-follow-up-script"
"18","2","W02","COM-001","client not responding freelancer","client-communication","user_seed","P1","guide","/deal","/blog/client-not-responding-freelancer"
"19","2","W02","PRO-004","freelance proposal email","proposal-and-close","user_seed","P1","template","/scope","/blog/freelance-proposal-email"
"20","2","W02","PRO-006","freelance pitch template","proposal-and-close","user_seed","P1","template","/scope","/blog/freelance-pitch-template"
"21","3","W03","NEG-011","client asking for price reduction","negotiation-discount","user_seed","P1","guide","/deal","/blog/client-asking-for-price-reduction"
"22","3","W03","NEG-015","how to reply when client says too expensive","negotiation-discount","user_seed","P1","guide","/deal","/blog/how-to-reply-when-client-says-too-expensive"
"23","3","W03","NEG-020","how to respond to budget objection","negotiation-discount","user_seed","P1","guide","/deal","/blog/how-to-respond-to-budget-objection"
"24","3","W03","PRI-007","how to quote freelance project","pricing-strategy","user_seed","P2","guide","/pricing","/blog/how-to-quote-freelance-project"
"25","3","W03","PRI-008","freelance pricing formula","pricing-strategy","user_seed","P2","guide","/pricing","/blog/freelance-pricing-formula"
"26","3","W03","COM-002","client ghosting freelancer","client-communication","user_seed","P1","guide","/deal","/blog/client-ghosting-freelancer"
"27","3","W03","COM-008","client not replying message","client-communication","user_seed","P1","guide","/deal","/blog/client-not-replying-message"
"28","3","W03","COM-003","how to follow up client freelancer","client-communication","user_seed","P2","guide","/deal","/blog/how-to-follow-up-client-freelancer"
"29","3","W03","PRO-008","client proposal script","proposal-and-close","user_seed","P1","template","/scope","/blog/client-proposal-script"
"30","3","W03","PRO-011","freelancer pitch email","proposal-and-close","user_seed","P1","template","/scope","/blog/freelancer-pitch-email"
